eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp141006794,2022-10-31,2022-10-31 17:29:10 UTC,39.9804997997,-75.1560726997,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp141006820,2022-11-03,,40.301541,-77.333894,American Woodcock,Scolopax minor,American Woodcock,Bird was on south side of Walnut St. near intersection with Dock St. —across the street from parking lot behind Merchants Exchange building.
bsp141090085,2022-10-14,2022-10-14 16:20:00 UTC,39.9449009361,-75.2070586194,New World Warblers,Parulidae,New World Warblers,"Warbler sp, window strike, collected for ANS"
bsp141090445,2022-10-14,2022-10-14 16:06:28 UTC,39.9441533333,-75.2089833333,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,"Window strike, collected for ANS. Sorry for gross photo"
bsp141090830,2022-10-17,2022-10-17 17:34:17 UTC,39.9449083333,-75.2081916667,Song Sparrow,Melospiza melodia,Song Sparrow,Not confident about ID. Window strike collected for ANS
bsp141488941,2022-11-08,2022-11-08 21:42:54 UTC,39.9443188751,-75.2087333887,Northern Cardinal,Cardinalis cardinalis,Northern Cardinal,"Window strike, collected for ANS"
bsp141498664,2022-10-29,,39.954024,-75.147857,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp141498769,2022-11-08,2022-11-09 01:08:00 UTC,39.953306,-75.149255,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp141988264,2022-11-14,2022-11-14 14:21:30 UTC,39.9539966667,-75.1913916667,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp141997173,2022-11-14,2022-11-14 16:42:00 UTC,39.9808945426,-75.1525894799,European Starling,Sturnus vulgaris,European Starling,
bsp142068307,2022-11-15,2022-11-15 14:19:01 UTC,39.9488616667,-75.1955033333,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp142093613,2022-11-15,2022-11-15 20:44:16 UTC,39.959566661,-75.172172483,Wood Duck,Aix sponsa,Wood Duck,
